Pincode,Hub Name,Cluster_Code,Description,Cluster_Category,Polygon WKT
784101,BVU_Balipara,784101_A,₹0,C1,"POLYGON ((92.77293368339306 26.861217738113574, 92.777739 26.859222, 92.779369 26.857385, 92.78341864062726 26.858724103966736, 92.7972799457861 26.848157779553983, 92.80447833693111 26.832639023861162, 92.80299591594782 26.8158958091037, 92.79894741674552 26.81000283146595, 92.798038 26.81013, 92.793703 26.809938, 92.787716 26.808904, 92.783704 26.80808, 92.778833 26.808023, 92.77864 26.802469, 92.77849 26.798658, 92.778103 26.796417, 92.77781790246527 26.793189116047518, 92.77711436747278 26.792804428081812, 92.75835707434334 26.791487081757516, 92.7409728007995 26.79791256954958, 92.7335038025807 26.805714294705595, 92.739353 26.811925, 92.739239 26.820267, 92.730678 26.819671, 92.726673 26.823841, 92.72457050341689 26.826191935669808, 92.72434974001735 26.82701148896684, 92.72873824661986 26.843344003159025, 92.74096062760333 26.856117884222474, 92.75835311903138 26.862547038724514, 92.7646612 26.86299006423675, 92.77293368339306 26.861217738113574))"
784101,BVU_Balipara,784101_B,₹1,C3,"POLYGON ((92.84429942269256 26.838249701352584, 92.84132310656565 26.80476409385661, 92.83316175828797 26.79288956195287, 92.825418 26.796532, 92.826447 26.797566, 92.826061 26.7986, 92.824323 26.801262, 92.825546 26.806338, 92.825117 26.806319, 92.824752 26.807372, 92.824323 26.807372, 92.824216 26.808578, 92.82383 26.808617, 92.823722 26.809019, 92.822778 26.80923, 92.822778 26.81011, 92.82192 26.810398, 92.818251 26.811681, 92.813873 26.813079, 92.81014 26.812428, 92.80338 26.809383, 92.79894741674552 26.81000283146595, 92.80299591594782 26.8158958091037, 92.80447833693111 26.832639023861162, 92.7972799457861 26.848157779553983, 92.78341864062726 26.858724103966736, 92.794526 26.862397, 92.798911 26.857564, 92.804749 26.85113, 92.812843 26.85011, 92.820396 26.847506, 92.84095181444872 26.84547167363076, 92.84429942269256 26.838249701352584))"
784101,BVU_Balipara,784101_C,₹1,C3,"POLYGON ((92.71108813114938 26.87877516994219, 92.736626 26.876297, 92.77293368339306 26.861217738113574, 92.7646612 26.86299006423675, 92.75835311903138 26.862547038724514, 92.74096062760333 26.856117884222474, 92.72873824661986 26.843344003159025, 92.72434974001735 26.82701148896684, 92.72457050341689 26.826191935669808, 92.72212 26.828932, 92.719753 26.839439, 92.732011 26.856658, 92.710042 26.86792, 92.7026700034214 26.86997477367777, 92.71108813114938 26.87877516994219))"
784101,BVU_Balipara,784101_D,₹1,C3,"POLYGON ((92.7409728007995 26.79791256954958, 92.75835707434334 26.791487081757516, 92.77711436747278 26.792804428081812, 92.77781790246527 26.793189116047518, 92.777631 26.791073, 92.778382 26.783372, 92.772138 26.782472, 92.771087 26.775959, 92.769456 26.771706, 92.756324 26.772242, 92.752805 26.771514, 92.749715 26.770786, 92.747612 26.780775, 92.744274 26.780884, 92.74045 26.782617, 92.738296 26.781994, 92.737142 26.780559, 92.736262 26.782482, 92.734654 26.783159, 92.73341 26.783972, 92.733774 26.78511, 92.734866 26.785408, 92.735231 26.786004, 92.734381 26.787981, 92.73432 26.791611, 92.735413 26.79237, 92.733349 26.792695, 92.731832 26.792532, 92.725399 26.793832, 92.722364 26.793886, 92.7335038025807 26.805714294705595, 92.7409728007995 26.79791256954958))"
784101,BVU_Balipara,784101_E,₹2,C5,"POLYGON ((92.87964276998581 26.79362206126658, 92.87187849508277 26.78233009371613, 92.868204 26.783736, 92.863269 26.789866, 92.855673 26.788257, 92.85387 26.794156, 92.847433 26.791283, 92.841382 26.789023, 92.83316175828797 26.79288956195287, 92.84132310656565 26.80476409385661, 92.84429942269256 26.838249701352584, 92.84095181444872 26.84547167363076, 92.853761 26.844204, 92.868743 26.851155, 92.868633 26.845132, 92.874882 26.838356, 92.872839 26.829739, 92.876338 26.822325, 92.879362 26.812581, 92.87998 26.808675, 92.88089954990794 26.80770706602629, 92.87964276998581 26.79362206126658))"
784101,BVU_Balipara,784101_F,₹2,C5,"POLYGON ((92.7026700034214 26.86997477367777, 92.688677 26.873875, 92.689194 26.883764, 92.703495 26.879512, 92.71108813114938 26.87877516994219, 92.7026700034214 26.86997477367777))"
784101,BVU_Balipara,784101_G,₹3,C7,"POLYGON ((92.87964276998581 26.79362206126658, 92.88089954990794 26.80770706602629, 92.887259 26.801013, 92.891979 26.79565, 92.89361 26.789368, 92.892916 26.78658, 92.891686 26.784447, 92.890091 26.782242, 92.886572 26.775499, 92.88434 26.774656, 92.882152 26.772089, 92.876487 26.777032, 92.873311 26.781782, 92.87187849508277 26.78233009371613, 92.87964276998581 26.79362206126658))"
784102,BVU_Balipara,784102_A,₹1,C3,"POLYGON ((92.82991087615892 26.86929087362253, 92.84095181444872 26.84547167363076, 92.820396 26.847506, 92.812843 26.85011, 92.804749 26.85113, 92.798911 26.857564, 92.794526 26.862397, 92.797222 26.872239, 92.800913 26.87622, 92.807636 26.879722, 92.80950021455162 26.884852373856855, 92.82991087615892 26.86929087362253))"
784102,BVU_Balipara,784102_B,₹2,C5,"POLYGON ((92.86255400250741 26.89041647255289, 92.8768539311442 26.859545150102026, 92.878038 26.855467, 92.868743 26.851155, 92.853761 26.844204, 92.84095181444872 26.84547167363076, 92.82991087615892 26.86929087362253, 92.80950021455162 26.884852373856855, 92.814903 26.899721, 92.829151 26.906916, 92.83908318163657 26.908314177829737, 92.86255400250741 26.89041647255289))"
784102,BVU_Balipara,784102_C,₹3,C7,"POLYGON ((92.86255400250741 26.89041647255289, 92.83908318163657 26.908314177829737, 92.845255 26.909183, 92.861767 26.911508, 92.86315 26.906744, 92.8768539311442 26.859545150102026, 92.86255400250741 26.89041647255289))"
784103,BVU_Balipara,784103_A,₹0,C1,"POLYGON ((92.7829674012949 26.85906807887522, 92.78341864062726 26.858724103966736, 92.779369 26.857385, 92.777739 26.859222, 92.77293368339306 26.861217738113574, 92.7829674012949 26.85906807887522))"
784103,BVU_Balipara,784103_B,₹1,C3,"POLYGON ((92.80950021455162 26.884852373856855, 92.807636 26.879722, 92.800913 26.87622, 92.797222 26.872239, 92.794526 26.862397, 92.78341864062726 26.858724103966736, 92.7829674012949 26.85906807887522, 92.77293368339306 26.861217738113574, 92.736626 26.876297, 92.71108813114938 26.87877516994219, 92.71724786204217 26.885214615207268, 92.75204107420242 26.898076597324735, 92.7646612 26.898962928473498, 92.80128397722734 26.8911165989715, 92.80950021455162 26.884852373856855))"
784103,BVU_Balipara,784103_C,₹2,C5,"POLYGON ((92.83908318163657 26.908314177829737, 92.829151 26.906916, 92.814903 26.899721, 92.80950021455162 26.884852373856855, 92.80128397722734 26.8911165989715, 92.7646612 26.898962928473498, 92.75204107420242 26.898076597324735, 92.71724786204217 26.885214615207268, 92.71108813114938 26.87877516994219, 92.703495 26.879512, 92.689194 26.883764, 92.674141 26.888239, 92.67596975541571 26.895952102664083, 92.69352288332512 26.914307385934325, 92.74572505694812 26.93360587519317, 92.7646612 26.93493579271025, 92.81961094732492 26.923162755674944, 92.83908318163657 26.908314177829737))"
