Pincode,Hub Name,Cluster_Code,Description,Cluster_Category,Polygon WKT
761110,ASK_Asika,761110_A,₹0,C1,"POLYGON ((84.648335 19.625072, 84.649932 19.625247, 84.654121 19.625707, 84.654815 19.625891, 84.655429 19.626291, 84.655801 19.626577, 84.656598 19.626169, 84.657205 19.625784, 84.658006 19.62632, 84.658645 19.626284, 84.659283 19.626248, 84.661647 19.626677, 84.662458 19.626824, 84.662843 19.626268, 84.662995 19.625589, 84.663091 19.625156, 84.663082 19.624763, 84.66308 19.624681, 84.663121 19.624474, 84.663177 19.624186, 84.66345 19.623565, 84.663624 19.623538, 84.663745 19.623519, 84.663785 19.623401, 84.663874 19.623135, 84.664103 19.622784, 84.664507 19.622165, 84.664852 19.621708, 84.665247 19.621185, 84.665506 19.620638, 84.66639 19.618718, 84.66818 19.614929, 84.669986 19.611045, 84.6706 19.609724, 84.672403 19.607501, 84.673348 19.606328, 84.67412 19.605722, 84.674606 19.605529, 84.675638 19.605118, 84.676852 19.604634, 84.677318 19.604449, 84.677877 19.604101, 84.678401 19.603774, 84.678449 19.603744, 84.678925 19.603058, 84.679055 19.602609, 84.678919 19.601421, 84.678719 19.600238, 84.678454 19.598828, 84.678115 19.597953, 84.677781 19.596966, 84.677671 19.596469, 84.677473 19.596151, 84.677145 19.595948, 84.676808 19.595787, 84.676459 19.593407, 84.675827 19.593577, 84.673721 19.594141, 84.672218 19.594544, 84.671941 19.595459, 84.671985 19.595726, 84.671802 19.595916, 84.671663 19.596373, 84.668722 19.602224, 84.665375 19.606346, 84.657115 19.608807, 84.656052 19.608688, 84.654993 19.608615, 84.654026 19.608461, 84.650192 19.607385, 84.646394 19.606319, 84.645377 19.610071, 84.645367 19.610106, 84.645267 19.610079, 84.64524 19.610071, 84.645213 19.610064, 84.64516 19.610048, 84.64493 19.610067, 84.644487 19.610103, 84.643973 19.609998, 84.643629 19.60993, 84.643276 19.609864, 84.642577 19.609734, 84.639938 19.6112, 84.634893 19.612149, 84.635083 19.62366, 84.648335 19.625072))"
761111,ASK_Asika,761111_A,₹0,C1,"POLYGON ((84.66710632946904 19.651063226470836, 84.6806653759883 19.640153683186977, 84.68748607811789 19.62463546841379, 84.6860832790432 19.607892133546603, 84.6767650939734 19.593573332228885, 84.66156383036726 19.584799388965667, 84.64379209675795 19.583481922986632, 84.62732157852903 19.589907951677517, 84.61574097120781 19.60267746685386, 84.61437145405807 19.608046020176964, 84.61708 19.612835, 84.624712 19.622554, 84.624713 19.622555, 84.626912 19.625355, 84.635083 19.62366, 84.634893 19.612149, 84.639938 19.6112, 84.642577 19.609734, 84.643276 19.609864, 84.643629 19.60993, 84.643973 19.609998, 84.644487 19.610103, 84.64493 19.610067, 84.64516 19.610048, 84.645213 19.610064, 84.64524 19.610071, 84.645267 19.610079, 84.645367 19.610106, 84.645377 19.610071, 84.646394 19.606319, 84.650192 19.607385, 84.654026 19.608461, 84.654993 19.608615, 84.656052 19.608688, 84.657115 19.608807, 84.665375 19.606346, 84.668722 19.602224, 84.671663 19.596373, 84.671802 19.595916, 84.671985 19.595726, 84.671941 19.595459, 84.672218 19.594544, 84.673721 19.594141, 84.675827 19.593577, 84.676459 19.593407, 84.676808 19.595787, 84.677145 19.595948, 84.677473 19.596151, 84.677671 19.596469, 84.677781 19.596966, 84.678115 19.597953, 84.678454 19.598828, 84.678719 19.600238, 84.678919 19.601421, 84.679055 19.602609, 84.678925 19.603058, 84.678449 19.603744, 84.678401 19.603774, 84.677877 19.604101, 84.677318 19.604449, 84.676852 19.604634, 84.675638 19.605118, 84.674606 19.605529, 84.67412 19.605722, 84.673348 19.606328, 84.672403 19.607501, 84.6706 19.609724, 84.669986 19.611045, 84.66818 19.614929, 84.66639 19.618718, 84.665506 19.620638, 84.665247 19.621185, 84.664852 19.621708, 84.664507 19.622165, 84.664103 19.622784, 84.663874 19.623135, 84.663785 19.623401, 84.663745 19.623519, 84.663624 19.623538, 84.66345 19.623565, 84.663177 19.624186, 84.663121 19.624474, 84.66308 19.624681, 84.663082 19.624763, 84.663091 19.625156, 84.662995 19.625589, 84.662843 19.626268, 84.662458 19.626824, 84.66296 19.627311, 84.660758 19.629333, 84.660745 19.629345, 84.65372 19.635797, 84.657498 19.646791, 84.6586985396638 19.652964597763447, 84.66710632946904 19.651063226470836))"
761111,ASK_Asika,761111_B,₹1,C3,"POLYGON ((84.72520979469517 19.630251080118615, 84.72400048895103 19.61585677520508, 84.708876 19.581916, 84.70253458897211 19.567425337040724, 84.69296116856042 19.561900085057932, 84.685793 19.563996, 84.672277 19.555339, 84.66374392364278 19.5498733208489, 84.65901849268853 19.549523012531022, 84.653844 19.568528, 84.653268 19.570641, 84.651468 19.577252, 84.630855 19.580172, 84.616049 19.580117, 84.610754 19.601649, 84.610752 19.601649, 84.608909 19.6012, 84.610754 19.60165, 84.61437145405807 19.608046020176964, 84.61574097120781 19.60267746685386, 84.62732157852903 19.589907951677517, 84.64379209675795 19.583481922986632, 84.66156383036726 19.584799388965667, 84.6767650939734 19.593573332228885, 84.6860832790432 19.607892133546603, 84.68748607811789 19.62463546841379, 84.6806653759883 19.640153683186977, 84.66710632946904 19.651063226470836, 84.6586985396638 19.652964597763447, 84.66061 19.662794, 84.673713 19.660309, 84.696822 19.655925, 84.711507 19.655602, 84.7140841763372 19.655575998814403, 84.72520979469517 19.630251080118615))"
761111,ASK_Asika,761111_C,₹2,C5,"POLYGON ((84.66374392364278 19.5498733208489, 84.659639 19.547244, 84.65901849268853 19.549523012531022, 84.66374392364278 19.5498733208489))"
761111,ASK_Asika,761111_D,₹2,C5,"POLYGON ((84.70253458897211 19.567425337040724, 84.70252 19.567392, 84.719208 19.561227, 84.716481 19.558838, 84.716286 19.558685, 84.716078 19.558543, 84.715665 19.55826, 84.71478 19.557613, 84.713885 19.556563, 84.705325 19.558285, 84.69296116856042 19.561900085057932, 84.70253458897211 19.567425337040724))"
761111,ASK_Asika,761111_E,₹2,C5,"POLYGON ((84.72520979469517 19.630251080118615, 84.7140841763372 19.655575998814403, 84.726672 19.655449, 84.72651 19.645493, 84.726416 19.642576, 84.725681 19.619628, 84.72400048895103 19.61585677520508, 84.72520979469517 19.630251080118615))"
761114,ASK_Asika,761114_A,₹0,C1,"POLYGON ((84.61157506111634 19.619007974631344, 84.61307151444704 19.624884471951685, 84.614716 19.621892, 84.618494 19.621892, 84.624713 19.622555, 84.624712 19.622554, 84.61708 19.612835, 84.61437145405807 19.608046020176964, 84.61157506111634 19.619007974631344))"
761114,ASK_Asika,761114_B,₹1,C3,"POLYGON ((84.6048537560151 19.677211746781566, 84.6110211787595 19.679618237000234, 84.606162 19.67129, 84.605262 19.669748, 84.605232 19.669696, 84.602451 19.656976, 84.601028 19.653131, 84.601054 19.653099, 84.605597 19.647419, 84.609163 19.644571, 84.60968 19.644159, 84.610505 19.6435, 84.616405 19.638788, 84.611305 19.628099, 84.61307151444704 19.624884471951685, 84.61157506111634 19.619007974631344, 84.61437145405807 19.608046020176964, 84.610754 19.60165, 84.608909 19.6012, 84.602015 19.603216, 84.59995 19.626098, 84.588898 19.636673, 84.59327 19.647419, 84.596068 19.653294, 84.596067 19.653294, 84.59787 19.657079, 84.59282903351247 19.663944806425643, 84.6048537560151 19.677211746781566))"
761114,ASK_Asika,761114_C,₹2,C5,"POLYGON ((84.6048537560151 19.677211746781566, 84.59282903351247 19.663944806425643, 84.588859 19.669352, 84.588857 19.671024, 84.588856 19.671838, 84.588855 19.672724, 84.58885 19.676129, 84.588848 19.678151, 84.590696 19.679806, 84.592459 19.681384, 84.596324 19.684845, 84.612158 19.69902, 84.620172 19.695302, 84.6110211787595 19.679618237000234, 84.6048537560151 19.677211746781566))"
761114,ASK_Asika,761114_D,₹2,C5,"POLYGON ((84.621804 19.689154, 84.621084 19.689664, 84.620254 19.690253, 84.621804 19.689154))"
761115,ASK_Asika,761115_A,₹0,C1,"POLYGON ((84.6586985396638 19.652964597763447, 84.657498 19.646791, 84.65372 19.635797, 84.660745 19.629345, 84.660758 19.629333, 84.66296 19.627311, 84.662458 19.626824, 84.661647 19.626677, 84.659283 19.626248, 84.658645 19.626284, 84.658006 19.62632, 84.657205 19.625784, 84.656598 19.626169, 84.655801 19.626577, 84.655429 19.626291, 84.654815 19.625891, 84.654121 19.625707, 84.649932 19.625247, 84.648335 19.625072, 84.635083 19.62366, 84.626912 19.625355, 84.624713 19.622555, 84.618494 19.621892, 84.614716 19.621892, 84.61307151444704 19.624884471951685, 84.615734056605 19.63534014172468, 84.62731344992412 19.648113266860502, 84.64378945561369 19.654541879997737, 84.649765 19.654984864236756, 84.6586985396638 19.652964597763447))"
